slug,center_lat,center_lon,zoom
n07-batang-kali-selangor,3.433477,101.628676,10.390975532739322
n08-sungai-burong-selangor,3.490166,101.202698,10.613748983017686
n09-permatang-selangor,3.468246,101.341976,10.147822732660575
n10-bukit-melawati-selangor,3.309294,101.313417,10.881112219824134
n11-ijok-selangor,3.327063,101.39964,10.821999059953486
n12-jeram-selangor,3.229102,101.3969,11.039207903474345
n13-kuang-selangor,3.269202,101.538205,11.47702250649661
n14-rawang-selangor,3.344843,101.526752,11.324743903976909
n15-taman-templer-selangor,3.286613,101.633644,11.559080733698217
n16-sungai-tua-selangor,3.308644,101.701135,10.862441077824137
n17-gombak-setia-selangor,3.293912,101.754976,10.85498453450453
n18-hulu-kelang-selangor,3.228623,101.792948,11.100916044807656
n19-bukit-antarabangsa-selangor,3.17528,101.766298,11.770856746043192
n20-lembah-jaya-selangor,3.17504,101.788936,11.430262128487792
n21-pandan-indah-selangor,3.133622,101.748344,12.61409565608631
n22-teratai-selangor,3.106821,101.764156,12.391117599562019
n23-dusun-tua-selangor,3.163022,101.855624,10.364151149915648
n24-semenyih-selangor,2.993002,101.867137,10.213343957767895
n25-kajang-selangor,3.038903,101.80489,10.975860548362391
n26-sungai-ramal-selangor,2.956335,101.778094,11.088401244400432
n27-balakong-selangor,3.021436,101.755412,11.64337921746961
n28-seri-kembangan-selangor,3.024718,101.708866,12.323720457979547
n29-seri-serdang-selangor,3.007844,101.647215,12.008449108485596
n30-kinrara-selangor,3.034862,101.641651,11.932376554481216
n31-subang-jaya-selangor,3.053084,101.592258,12.194986241933083
n32-seri-setia-selangor,3.099646,101.575916,12.384905576406187
n33-taman-medan-selangor,3.087275,101.637587,13.080569174607685
n34-bukit-gasing-selangor,3.104911,101.644318,12.407483992344616
n35-kampung-tunku-selangor,3.107875,101.617788,12.632604837444848
n36-bandar-utama-selangor,3.130472,101.610514,12.564925791797199
n37-bukit-lanjan-selangor,3.200126,101.613302,11.539580370475568
n38-paya-jaras-selangor,3.216187,101.517484,11.771957882816595
n39-kota-damansara-selangor,3.158747,101.561621,11.39935552435317
n40-kota-anggerik-selangor,3.118177,101.49872,11.13697941667984
n41-batu-tiga-selangor,3.055148,101.51207,12.286931131304671
n42-meru-selangor,3.142397,101.43141,11.498873569047676
n43-sementa-selangor,3.114885,101.37439,10.906309018206159
n44-selat-klang-selangor,2.985843,101.311804,10.834677754901058
n45-bandar-baru-klang-selangor,3.073158,101.43335,11.896824619999434
n46-pelabuhan-klang-selangor,2.946199,101.369831,11.179968722642375
n47-pandamaran-selangor,3.021301,101.423431,12.429864052134585
n48-sentosa-selangor,3.006552,101.460011,12.675344152400202
n49-sungai-kandis-selangor,3.000578,101.504264,11.516263407320135
n50-kota-kemuning-selangor,3.009585,101.544032,11.98729575171258
n51-sijangkang-selangor,2.891401,101.462481,10.70899099253737
n52-banting-selangor,2.852387,101.528802,11.365235408719917
n53-morib-selangor,2.810838,101.46895,10.899798455163499
n54-tanjong-sepat-selangor,2.700012,101.568182,10.522863783676195
n55-dengkil-selangor,2.868834,101.672729,10.038504725995093
n56-sungai-pelek-selangor,2.727668,101.695845,10.031944785090205
n01-chennah-negeri-sembilan,3.106962,102.079382,9.69130990059507
n02-pertang-negeri-sembilan,3.021388,102.244565,10.188770737736958
n03-sungai-lui-negeri-sembilan,2.992388,102.375098,10.00685501938906
n04-klawang-negeri-sembilan,2.928298,102.068252,10.550775639572603
n05-serting-negeri-sembilan,2.910529,102.394436,10.441359478694334
n06-palong-negeri-sembilan,2.805364,102.611157,9.895037762220923
n07-jeram-padang-negeri-sembilan,2.716751,102.469652,10.318865908580348
n08-bahau-negeri-sembilan,2.813602,102.353638,11.659296489545548
n09-lenggeng-negeri-sembilan,2.841852,101.974621,10.220595724553734
n10-nilai-negeri-sembilan,2.819922,101.854521,11.498970994369508
n11-lobak-negeri-sembilan,2.758197,101.91844,12.101359733196473
n12-temiang-negeri-sembilan,2.741956,101.943682,12.699963361182512
n13-sikamat-negeri-sembilan,2.74447,101.967931,12.75780816298286
n14-ampangan-negeri-sembilan,2.72581,101.96218,13.35177495561164
