date,parlimen,dun,seat,ballot_order,name,party,votes
24 Jul 2013,033,03301,"PRK DUN N.01 KUALA BESUT, TERENGGANU (2013)",2,ENDOT @AZLAN BIN YUSOF,PARTI ISLAM SE MALAYSIA (PAS),"5,696"
06 Mar 2011,087,08728,"PRK DUN N.28 KERDAU, PAHANG (2011)",1,SYED IBRAHIM,BARISAN NASIONAL (BN),"5,060"
06 Mar 2011,087,08728,"PRK DUN N.28 KERDAU, PAHANG (2011)",2,HASSANUDDIN BIN SALIM,PARTI ISLAM SE MALAYSIA (PAS),"2,336"
06 Mar 2011,139,13927,"PRK DUN N.27 MERLIMAU, MELAKA (2011)",1,ROSLAN BIN AHMAD,BARISAN NASIONAL (BN),"5,962"
06 Mar 2011,139,13927,"PRK DUN N.27 MERLIMAU, MELAKA (2011)",2,HAJI YUHAIZAD BIN ABDULLAH,PARTI ISLAM SE MALAYSIA (PAS),"2,319"
30 Jan 2011,142,14205,"PRK DUN N.05 TENANG, JOHOR (2011)",1,CIKGU MALA,PARTI ISLAM SE MALAYSIA (PAS),"2,992"
30 Jan 2011,142,14205,"PRK DUN N.05 TENANG, JOHOR (2011)",2,MOHD AZAHAR BIN IBRAHIM,BARISAN NASIONAL (BN),"6,699"
04 Nov 2010,032,03245,"PRK DUN N.45 GALAS, KELANTAN (2010)",1,AB AZIZ BIN YUSOFF,BARISAN NASIONAL (BN),"5,324"
04 Nov 2010,032,03245,"PRK DUN N.45 GALAS, KELANTAN (2010)",2,DR. ZUL,PARTI ISLAM SE MALAYSIA (PAS),"4,134"
04 Nov 2010,185,18500,"PRK PARLIMEN P.185 BATU SAPI, SABAH (2010)",1,HAJI ANSARI BIN ABDULLAH,PARTI KEADILAN RAKYAT (PKR),"3,414"
04 Nov 2010,185,18500,"PRK PARLIMEN P.185 BATU SAPI, SABAH (2010)",2,YONG TECK LEE,PARTI MAJU SABAH (SAPP),"2,031"
04 Nov 2010,185,18500,"PRK PARLIMEN P.185 BATU SAPI, SABAH (2010)",3,TSEN THAU LIN,BARISAN NASIONAL (BN),"9,773"
