state,seat,code,ballot_order,name,party,votes
Negeri Sembilan,BAGAN PINANG,13231,2,NAJIB TAN SRI ISA,BARISAN NASIONAL OF MALAYSIA (BN),"7,495"
Negeri Sembilan,LINGGI,13232,1,DATUK MOHD FAIZAL RAMLI,BARISAN NASIONAL OF MALAYSIA (BN),"7,832"
Negeri Sembilan,LINGGI,13232,2,ZAMRI BIN MD SAID,PERIKATAN NASIONAL (PN),"6,371"
Negeri Sembilan,SRI TANJUNG,13233,1,ZABIDI BIN ARIFFIN,PERIKATAN NASIONAL (PN),"4,243"
Negeri Sembilan,SRI TANJUNG,13233,2,DR.RAJA,PAKATAN HARAPAN (PH),"8,239"
Negeri Sembilan,GEMAS,13334,1,HAJI RIDZUAN AHMAD,PERIKATAN NASIONAL (PN),"11,653"
Negeri Sembilan,GEMAS,13334,2,ABD RAZAK BIN AB SAID,BARISAN NASIONAL OF MALAYSIA (BN),"8,533"
Negeri Sembilan,GEMENCHEH,13335,1,USTAZ TENGKU,PERIKATAN NASIONAL (PN),"6,471"
Negeri Sembilan,GEMENCHEH,13335,2,SUHAIMIZAN BIZAR (HAI),BARISAN NASIONAL OF MALAYSIA (BN),"8,905"
Negeri Sembilan,REPAH,13336,1,ELAINE YONG LI YI,PERIKATAN NASIONAL (PN),"5,557"
Negeri Sembilan,REPAH,13336,2,VEERAPAN A/L SUPERAMANIAM,PAKATAN HARAPAN (PH),"11,507"
