state,parlimen,area_name,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Pahang,P.077 Jerantut,Jerantut,39936,29784,141,1213
Pahang,P.078 Kuantan,Kuantan,65639,47547,1423,1784
Pahang,P.079 Paya Besar,Paya Besar,47684,37221,1342,1536
Pahang,P.080 Pekan,Pekan,34307,24565,223,1127
Pahang,P.081 Maran,Maran,41406,31816,102,1016
Pahang,P.082 Mentekab,Mentekab,41837,30176,1,1346
Pahang,P.083 Bentung,Bentung,49137,35363,627,1465
Pahang,P.084 Temerloh,Temerloh,51410,39434,1896,1448
Pahang,P.085 Rompin,Rompin,33069,25313,72,1004
Selangor,P.086 Sabak Bernam,Sabak Bernam,34887,22990,67,1419
Selangor,P.087 Tanjung Karang,Tanjung Karang,41160,27410,1,1303
Selangor,P.088 Hulu Selangor,Hulu Selangor,51256,35223,174,1575
Selangor,P.089 Kuala Selangor,Kuala Selangor,49730,35247,98,2035
Selangor,P.090 Selayang,Selayang,78312,54731,471,2103
Selangor,P.091 Gombak,Gombak,67634,47973,390,935
Selangor,P.092 Ampang Jaya,Ampang Jaya,85954,61608,328,1777
Selangor,P.093 Hulu Langat,Hulu Langat,66747,47793,583,1678
Selangor,P.094 PJ Utara,PJ Utara,68828,0,0,0
Selangor,P.095 PJ Selatan,PJ Selatan,66786,43854,354,1022
Selangor,P.096 Serdang,Serdang,78462,60691,388,1243
Selangor,P.097 Subang,Subang,73868,51901,1028,2142
Selangor,P.098 Shah Alam,Shah Alam,85202,63074,305,1552
Selangor,P.099 Kapar,Kapar,67555,49595,110,1678
Selangor,P.100 Klang,Klang,71188,54724,92,841
Selangor,P.101 Kuala Langat,Kuala Langat,53718,39584,167,1826
Selangor,P.102 Sepang,Sepang,52071,38182,106,1701
W.P. Kuala Lumpur,P.103 Kepong,Kepong,60111,45454,56,270
W.P. Kuala Lumpur,P.104 Batu,Batu,58299,39930,842,284
W.P. Kuala Lumpur,P.105 Wangsa Maju,Wangsa Maju,65199,48725,3147,1704
W.P. Kuala Lumpur,P.106 Segambut,Segambut,57127,38880,2088,432
W.P. Kuala Lumpur,P.107 Titiwangsa,Titiwangsa,54176,32811,346,341
W.P. Kuala Lumpur,P.108 Bukit Bintang,Bukit Bintang,59375,36666,850,433
W.P. Kuala Lumpur,P.109 Lembah Pantai,Lembah Pantai,52108,33984,193,286
W.P. Kuala Lumpur,P.110 Seputeh,Seputeh,67829,47975,90,261
W.P. Kuala Lumpur,P.111 Cheras,Cheras,63985,44406,77,224
W.P. Kuala Lumpur,P.112 Bandar Tun Razak,Bandar Tun Razak,53687,38326,523,539
Negeri Sembilan,P.113 Jelebu,Jelebu,35984,27830,363,1107
Negeri Sembilan,P.114 Jempol,Jempol,47127,35251,176,1473
Negeri Sembilan,P.115 Tampin,Tampin,43797,32230,290,1454
Negeri Sembilan,P.116 Kuala Pilah,Kuala Pilah,42869,29704,63,1271
Negeri Sembilan,P.117 Seremban,Seremban,73689,54392,549,1632
Negeri Sembilan,P.118 Rasah,Rasah,73076,53732,486,1525
Negeri Sembilan,P.119 Telok Kemang,Telok Kemang,65345,47651,1336,2244
Melaka,P.120 Alor Gajah,Alor Gajah,46363,36950,1239,1503
Melaka,P.121 Selandar,Selandar,47641,35160,111,1497
Melaka,P.122 Batu Berendam,Batu Berendam,79861,62528,150,1526
Melaka,P.123 Kota Melaka,Kota Melaka,73894,56752,191,2231
Melaka,P.124 Jasin,Jasin,45096,34181,69,1253
Johor,P.125 Segamat,Segamat,57774,42031,46,1391
Johor,P.126 Ledang,Ledang,54467,38726,91,2100
Johor,P.127 Pagoh,Pagoh,38895,27497,5,1379
Johor,P.128 Labis,Labis,47413,34693,46,1322
Johor,P.129 Mersing,Mersing,37782,26624,66,1369
Johor,P.130 Kluang,Kluang,60293,43479,817,1551
Johor,P.131 Parit Sulong,Parit Sulong,58591,43467,551,2646
Johor,P.132 Bakri,Bakri,49982,36842,219,1076
Johor,P.133 Muar,Muar,40991,28595,151,1451
Johor,P.134 Sri Gading,Sri Gading,51910,38122,66,1700
Johor,P.135 Batu Pahat,Batu Pahat,62058,45098,136,2395
Johor,P.136 Tenggara,Tenggara,43080,34782,310,1536
Johor,P.137 Sungai Benut,Sungai Benut,54894,39424,301,2154
Johor,P.138 Senai,Senai,60688,46428,6,1730
Johor,P.139 Kota Tinggi,Kota Tinggi,52742,41577,61,1733
Johor,P.140 Tebrau,Tebrau,70298,52671,20,2451
Johor,P.141 Johor Bahru,Johor Bahru,74295,52424,433,1662
Johor,P.142 Pulai,Pulai,68416,45946,229,1378
Johor,P.143 Gelang Patah,Gelang Patah,63323,49276,91,2486
Johor,P.144 Pontian,Pontian,60443,44772,198,2265
W.P. Labuan,P.145 Labuan,Labuan,20243,14007,649,353
Sabah,P.146 Marudu,Marudu,32298,21980,21,313
Sabah,P.147 Bandau,Bandau,24287,16932,5,198
Sabah,P.148 Kota Belud,Kota Belud,34388,28097,177,315
Sabah,P.149 Tuaran,Tuaran,32382,23552,27,271
Sabah,P.150 Gaya,Gaya,40100,26732,2,295
Sabah,P.151 Tanjong Aru,Tanjong Aru,36121,23463,76,151
Sabah,P.152 Penampang,Penampang,39174,28807,508,665
Sabah,P.153 Papar,Papar,28908,21665,58,204
Sabah,P.154 Beaufort,Beaufort,36084,25376,22,338
Sabah,P.155 Sipitang,Sipitang,20609,15324,14,208
Sabah,P.156 Kinabalu,Kinabalu,22612,16576,11,177
Sabah,P.157 Keningau,Keningau,36443,26642,43,353
Sabah,P.158 Tenom,Tenom,24445,17262,7,176
Sabah,P.159 Beluran,Beluran,17470,11820,21,252
Sabah,P.160 Libaran,Libaran,33323,18743,22,276
Sabah,P.161 Sandakan,Sandakan,41590,27214,152,249
Sabah,P.162 Kinabatangan,Kinabatangan,19162,11202,4,234
Sabah,P.163 Silam,Silam,39537,23057,81,424
Sabah,P.164 Semporna,Semporna,33336,22197,18,385
Sabah,P.165 Tawau,Tawau,54540,34309,204,302
Sarawak,P.166 Mas Gading,Mas Gading,33239,21802,312,447
Sarawak,P.167 Santubong,Santubong,21914,14060,202,365
Sarawak,P.168 Petra Jaya,Petra Jaya,31545,0,0,0
Sarawak,P.169 Bandar Kuching,Bandar Kuching,74952,52500,277,379
Sarawak,P.170 Padawan,Padawan,44363,27867,392,849
Sarawak,P.171 Kota Samarahan,Kota Samarahan,27354,0,0,0
Sarawak,P.172 Serian,Serian,31634,20690,116,468
Sarawak,P.173 Batang Sadong,Batang Sadong,21114,13183,491,346
Sarawak,P.174 Batang Lupar,Batang Lupar,19562,0,0,0
Sarawak,P.175 Sri Aman,Sri Aman,27513,17659,950,481
Sarawak,P.176 Lubok Antu,Lubok Antu,27513,0,0,0
Sarawak,P.177 Betong,Betong,16108,0,0,0
Sarawak,P.178 Saratok,Saratok,23089,15970,70,265
Sarawak,P.179 Kuala Rajang,Kuala Rajang,27339,0,0,0
Sarawak,P.180 Sarikei,Sarikei,32736,0,0,0
Sarawak,P.181 Julau,Julau,18198,12558,34,182
Sarawak,P.182 Kanowit,Kanowit,18049,0,0,0
Sarawak,P.183 Lanang,Lanang,47334,34456,67,355
Sarawak,P.184 Sibu,Sibu,39368,27316,203,387
Sarawak,P.185 Mukah,Mukah,29048,0,0,0
Sarawak,P.186 Selangau,Selangau,19683,11509,58,322
Sarawak,P.187 Kapit,Kapit,20859,13943,52,435
Sarawak,P.188 Hulu Rajang,Hulu Rajang,15849,10111,22,274
Sarawak,P.189 Bintulu,Bintulu,36340,23157,49,389
Sarawak,P.190 Miri,Miri,64430,38580,206,805
Sarawak,P.191 Baram,Baram,26271,13158,23,190
Sarawak,P.192 Bukit Mas,Bukit Mas,31563,18903,146,344
