date,election,state,seat,ballot_order,candidate_rn,name_on_ballot,name_spr,party_on_ballot,party_uid,party,coalition_uid,coalition,votes
2026-07-11,SE-16,Johor,N.07 Bukit Kepong,1,12769,Mani,Subramani A/L Chami,PH,078-PKR,PKR,007-PH,PH,0
2026-07-11,SE-16,Johor,N.07 Bukit Kepong,2,14622,Cikgu Syar'E,Ahmad Syar'E Bin Yusof,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.07 Bukit Kepong,3,11909,Dato' Dr Sahruddin Bin Jamal,Sahruddin Bin Jamal,PN,107-BERSATU,BERSATU,011-PN,PN,0
2026-07-11,SE-16,Johor,N.08 Bukit Pasir,1,14623,Idzhar Nasirruddin,Mohd Idzharruddin Bin Mohd Nasirruddin,PN,107-BERSATU,BERSATU,011-PN,PN,0
2026-07-11,SE-16,Johor,N.08 Bukit Pasir,2,11912,Kapten (B) Hj Najib Bin Lep,Najib Bin Lep,PH,046-AMANAH,AMANAH,007-PH,PH,0
2026-07-11,SE-16,Johor,N.08 Bukit Pasir,3,12790,Fazli Salleh,Mohamad Fazli Bin Mohamad Salleh,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.09 Gambir,1,12794,Sahrihan Bin Jani,Sahrihan Bin Jani,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.09 Gambir,2,14624,Hj Mohd Nor Mohd Yusof,Mohd Nor Bin Mohd Yusof,PH,078-PKR,PKR,007-PH,PH,0
2026-07-11,SE-16,Johor,N.09 Gambir,3,12793,Suraya Sulaiman,Suraya Binti Sulaiman,PN,PEJUANG,119-PEJUANG,011-PN,PN,0
2026-07-11,SE-16,Johor,N.10 Tangkak,1,14625,Haw Chin Teck,Haw Chin Teck,BN,003-MCA,MCA,001-BN,BN,0
2026-07-11,SE-16,Johor,N.10 Tangkak,2,10500,Ee Chin Li,Ee Chin Li,PH,021-DAP,DAP,007-PH,PH,0
