date,election,state,seat,ballot_order,candidate_rn,name_on_ballot,party_on_ballot,party_uid,party,coalition_uid,coalition,votes
1955-07-25,GE-00,Kelantan,P.047 Kelantan Utara,2,117,Dato' Nik Hussein Bin Nik Zainal,NEG,008-NEG,NEG,0,ALONE,6295
1955-07-25,GE-00,Kelantan,P.048 Kelantan Tengah,1,118,Abdul Hamid Bin Mahmud,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,28422
1955-07-25,GE-00,Kelantan,P.048 Kelantan Tengah,2,119,Tengku Annuar Zainal Bin Tengku Zainal Abidin,NEG,008-NEG,NEG,0,ALONE,2970
1955-07-25,GE-00,Kelantan,P.048 Kelantan Tengah,3,120,Dato Nik Mohamed Bin Abdul Rahman,BEBAS,000-BEBAS,BEBAS,0,ALONE,1154
1955-07-25,GE-00,Kelantan,P.048 Kelantan Tengah,4,121,Idris Bin Haji Mohamed,BEBAS,000-BEBAS,BEBAS,0,ALONE,721
1955-07-25,GE-00,Terengganu,P.049 Trengganu Utara,1,122,Ibrahim Fikri Bin Mohamed,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,22041
1955-07-25,GE-00,Terengganu,P.049 Trengganu Utara,2,123,Mohd. Salleh Bin Ahmad,NEG,008-NEG,NEG,0,ALONE,2866
1955-07-25,GE-00,Terengganu,P.050 Trengganu Tengah,1,124,Engku Muhsein Bin Abdul Kadir,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,19038
1955-07-25,GE-00,Terengganu,P.050 Trengganu Tengah,2,125,Sulaiman Bin Ali,NEG,008-NEG,NEG,0,ALONE,4746
1955-07-25,GE-00,Terengganu,P.051 Trengganu Selatan,1,126,Wan Yahya Bin Haji Wan Mohd.,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,16345
1955-07-25,GE-00,Terengganu,P.051 Trengganu Selatan,2,127,Ibrahim Bin Matnoh,NEG,008-NEG,NEG,0,ALONE,2628
1955-07-25,GE-00,Perlis,P.052 Perlis,1,128,Sheikh Ahmad Bin Mohd. Hashim,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,17769
1955-07-25,GE-00,Perlis,P.052 Perlis,2,129,Matt Bin Haji Kassim,BEBAS,000-BEBAS,BEBAS,0,ALONE,8814
1959-05-20,GE-01,Perlis,P.001 Perlis Utara,1,130,Othman Bin Abdullah,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,9638
1959-05-20,GE-01,Perlis,P.001 Perlis Utara,2,131,Abu Bakar Bin Hamzah,PAS,004-PAS,PAS,0,ALONE,5787
1959-05-20,GE-01,Perlis,P.002 Perlis Selatan,1,132,Abdul Rahman Bin Osman,PAS,004-PAS,PAS,0,ALONE,6163
1959-05-20,GE-01,Perlis,P.002 Perlis Selatan,2,133,Haji Mokhtar Bin Haji Ismail,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,8015
1959-05-20,GE-01,Kedah,P.003 Jitra-Padang Terap,1,134,Fatimah Haji Hasim,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,10981
1959-05-20,GE-01,Kedah,P.003 Jitra-Padang Terap,2,135,Hj. Husin Bin Hj. Salleh,PAS,004-PAS,PAS,0,ALONE,5856
1959-05-20,GE-01,Kedah,P.004 Kubang Pasu Barat,1,99,Haji Abdullah Bin Haji Abbas,PAS,004-PAS,PAS,0,ALONE,5630
1959-05-20,GE-01,Kedah,P.004 Kubang Pasu Barat,2,136,Haji Azahari Bin Haji Ibrahim,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,8388
1959-05-20,GE-01,Kedah,P.005 Kota Star Utara,1,137,Haji Abdul Khalid,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,8942
1959-05-20,GE-01,Kedah,P.005 Kota Star Utara,2,138,Abu Bakar,PAS,004-PAS,PAS,0,ALONE,6279
1959-05-20,GE-01,Kedah,P.006 Alor Star,1,139,Lim Joo Kong,PERIKATAN,003-MCA,MCA,1,PERIKATAN,10730
1959-05-20,GE-01,Kedah,P.006 Alor Star,2,140,Teoh Ah Thow,LPM,005-LPM,LPM,2,SF,2289
1959-05-20,GE-01,Kedah,P.006 Alor Star,3,141,Malik Abdul Rahman,PAS,004-PAS,PAS,0,ALONE,4212
1959-05-20,GE-01,Kedah,P.007 Kuala Kedah,1,103,Tunku Abdul Rahman Putra Al-Haj,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,13032
1959-05-20,GE-01,Kedah,P.007 Kuala Kedah,2,142,Haji Hassan Bin Abdul Rahman,PAS,004-PAS,PAS,0,ALONE,5542
1959-05-20,GE-01,Kedah,P.008 Kota Star Selatan,1,143,Wan Sulaiman Bin Wan Tam,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,8369
1959-05-20,GE-01,Kedah,P.008 Kota Star Selatan,2,144,Lebai Othman Bin Haji Yunus,PAS,004-PAS,PAS,0,ALONE,7824
1959-05-20,GE-01,Kedah,P.009 Kedah Tengah,1,145,Shariff Babul,BEBAS,009-PR,PR,2,SF,1234
1959-05-20,GE-01,Kedah,P.009 Kedah Tengah,2,146,Haji Hussin Dol,PAS,004-PAS,PAS,0,ALONE,4435
1959-05-20,GE-01,Kedah,P.009 Kedah Tengah,3,101,Mohamed Khir Johari,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,11271
1959-05-20,GE-01,Kedah,P.010 Jerai,1,147,Ismail Yusof,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,11350
1959-05-20,GE-01,Kedah,P.010 Jerai,2,148,Haji Mahmud Bin Haji Abdullah,PAS,004-PAS,PAS,0,ALONE,6403
1959-05-20,GE-01,Kedah,P.011 Baling,1,149,Wan Basor Ali Bin Wan Salim,BEBAS,000-BEBAS,BEBAS,0,ALONE,1605
1959-05-20,GE-01,Kedah,P.011 Baling,2,150,Harun Bin Abdullah,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,12118
1959-05-20,GE-01,Kedah,P.011 Baling,3,104,Syed Jan Aljeffri,PAS,004-PAS,PAS,0,ALONE,3521
1959-05-20,GE-01,Kedah,P.012 Sungei Patani,1,151,Samad Osman,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,9186
1959-05-20,GE-01,Kedah,P.012 Sungei Patani,2,152,Mansor Tobeng,BEBAS,009-PR,PR,2,SF,5673
1959-05-20,GE-01,Kedah,P.013 Kulim Utara,1,153,Shorbaini,PAS,004-PAS,PAS,0,ALONE,2533
1959-05-20,GE-01,Kedah,P.013 Kulim Utara,2,154,Hanafi Bin Mohd Yunus,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,12281
1959-05-20,GE-01,Kedah,P.014 Kulim-Bandar Bahru,1,155,Tan Tye Shek,PERIKATAN,003-MCA,MCA,1,PERIKATAN,11317
1959-05-20,GE-01,Kedah,P.014 Kulim-Bandar Bahru,2,156,Choong An Fong,LPM,005-LPM,LPM,2,SF,4946
1959-05-20,GE-01,Kelantan,P.015 Tumpat,1,157,Mahmood Juhan,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,6380
1959-05-20,GE-01,Kelantan,P.015 Tumpat,2,158,Haji Che' Hassan,PAS,004-PAS,PAS,0,ALONE,10249
1959-05-20,GE-01,Kelantan,P.016 Kelantan Hilir,1,159,Hassan Hj. Yaacob,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,4327
1959-05-20,GE-01,Kelantan,P.016 Kelantan Hilir,2,160,Wan Mustapha,PAS,004-PAS,PAS,0,ALONE,12438
1959-05-20,GE-01,Kelantan,P.017 Pasir Mas Hilir,1,161,Nik Man Bin Nik Mohamed,PAS,004-PAS,PAS,0,ALONE,12422
1959-05-20,GE-01,Kelantan,P.017 Pasir Mas Hilir,2,162,Che' Omar Bin Hj. Ali,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3130
1959-05-20,GE-01,Kelantan,P.018 Kota Bharu Hilir,1,163,Nik Ismail Bin Nik Hussin,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,6302
1959-05-20,GE-01,Kelantan,P.018 Kota Bharu Hilir,2,164,Haji Ahmad,PAS,004-PAS,PAS,0,ALONE,9463
1959-05-20,GE-01,Kelantan,P.019 Bachok,1,165,Nik Min Ali,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3761
1959-05-20,GE-01,Kelantan,P.019 Bachok,2,166,Zulkiflee Bin Muhammad,PAS,004-PAS,PAS,0,ALONE,13880
1959-05-20,GE-01,Kelantan,P.020 Kota Bharu Hulu,1,167,Haji Hussein Rahimi,PAS,004-PAS,PAS,0,ALONE,14775
1959-05-20,GE-01,Kelantan,P.020 Kota Bharu Hulu,2,168,Che' Ismail Obrahim,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3749
1959-05-20,GE-01,Kelantan,P.021 Pasir Mas Hulu,1,169,Dato' Raja Hanifah,PAS,004-PAS,PAS,0,ALONE,9518
1959-05-20,GE-01,Kelantan,P.021 Pasir Mas Hulu,2,170,Yaacob Bin Awang,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3559
1959-05-20,GE-01,Kelantan,P.022 Pasir Puteh,1,112,Mohammad Asri,PAS,004-PAS,PAS,0,ALONE,12284
1959-05-20,GE-01,Kelantan,P.022 Pasir Puteh,2,171,Mat Idris,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,6630
1959-05-20,GE-01,Kelantan,P.023 Tanah Merah,1,172,Othman Abdullah,PAS,004-PAS,PAS,0,ALONE,12752
