date,state,seat,ballot_order,name,candidate_uid,party,party_uid,votes
2009-04-07,Sarawak,N.29 Batang Air,2,Malcom Mussen Lamoh,16037,BN,25,3907
2009-05-31,Pulau Pinang,N.12 Penanti,1,Mansor Bin Othman,1253,PKR,11,6052
2009-05-31,Pulau Pinang,N.12 Penanti,2,Kak Min,23652,BEBAS,1,392
2009-05-31,Pulau Pinang,N.12 Penanti,3,Nai Khan Ari,23020,BEBAS,1,494
2009-05-31,Pulau Pinang,N.12 Penanti,4,Paduka Ramizu,23654,BEBAS,1,56
2009-07-14,Kelantan,N.41 Manek Urai,1,Mohd Fauzi Bin Abdullah,4044,PAS,3,5348
2009-07-14,Kelantan,N.41 Manek Urai,2,Tuan Aziz Bin Tuan Hamat @ Tuan Mat,23679,BN,25,5283
2009-08-25,Pulau Pinang,N.11 Permatang Pasir,1,Mohd Salleh Bin Man,2350,PAS,3,9618
2009-08-25,Pulau Pinang,N.11 Permatang Pasir,2,Rohaizat Bin Othman,23648,BN,25,5067
2009-10-11,Negeri Sembilan,N.31 Bagan Pinang,1,Mohd Isa Bin Abdul Samad,3830,BN,25,8013
2009-10-11,Negeri Sembilan,N.31 Bagan Pinang,2,Zulkefly Mohamad Bin Omar,3792,PAS,3,2578
2010-04-25,Selangor,P.094 Hulu Selangor,1,P.Kamalanathan,3772,BN,25,24997
2010-04-25,Selangor,P.094 Hulu Selangor,2,Datuk Zaid Ibrahim,2950,PKR,11,23272
2010-05-16,Sarawak,P.212 Sibu,1,Robert Lau Hui Yew,18889,BN,25,18447
2010-05-16,Sarawak,P.212 Sibu,2,Narawi Bin Haron,2575,BEBAS,1,232
2010-05-16,Sarawak,P.212 Sibu,3,Wong Ho Leng,1965,DAP,18,18845
2010-11-04,Kelantan,N.45 Galas,1,Ab Aziz Bin Yusoff,17790,BN,25,5324
2010-11-04,Kelantan,N.45 Galas,2,Dr. Zul,23636,PAS,3,4134
2010-11-04,Sabah,P.185 Batu Sapi,1,Haji Ansari Bin Abdullah,145,PKR,11,3414
2010-11-04,Sabah,P.185 Batu Sapi,2,Yong Teck Lee,2837,SAPP,66,2031
2010-11-04,Sabah,P.185 Batu Sapi,3,Tsen Thau Lin,3922,BN,25,9773
2011-01-30,Johor,N.05 Tenang,1,Cikgu Mala,19024,PAS,3,2992
2011-01-30,Johor,N.05 Tenang,2,Mohd Azahar Bin Ibrahim,4031,BN,25,6699
2011-03-06,Pahang,N.28 Kerdau,1,Syed Ibrahim,348,BN,25,5060
2011-03-06,Pahang,N.28 Kerdau,2,Hassanuddin Bin Salim,16559,PAS,3,2336
2011-03-06,Melaka,N.27 Merlimau,1,Roslan Bin Ahmad,3860,BN,25,5962
2011-03-06,Melaka,N.27 Merlimau,2,Haji Yuhaizad Bin Abdullah,145,PAS,3,2319
2013-07-24,Terengganu,N.01 Kuala Besut,1,Tengku Zaihan Bin Che Ku Abd Rahman,21622,BN,25,8288
2013-07-24,Terengganu,N.01 Kuala Besut,2,Endot @Azlan Bin Yusof,17790,PAS,3,5696
2013-11-04,Kedah,N.20 Sungai Limau,1,Dr Haji Sohaimi Lazim,23625,BN,25,10985
2013-11-04,Kedah,N.20 Sungai Limau,2,Ustaz Mohd Azam Bin Abd Samat,19086,PAS,3,12069
2014-03-23,Selangor,N.25 Kajang,1,Chew Mei Fun,2741,BN,25,11362
2014-03-23,Selangor,N.25 Kajang,2,Wan Azizah Wan Ismail,4901,PKR,11,16741
2014-03-29,Sarawak,N.51 Balingian,1,Yussibnosh Balo,17434,BN,25,8194
2014-03-29,Sarawak,N.51 Balingian,2,Abdul Jalil Bin Bujang,4398,PKR,11,1283
2014-05-25,Pulau Pinang,P.051 Bukit Gelugor,1,Huan Cheng Guan,2994,PCM,67,3583
2014-05-25,Pulau Pinang,P.051 Bukit Gelugor,2,Mohamed Nabi,23618,BEBAS,1,799
2014-05-25,Pulau Pinang,P.051 Bukit Gelugor,3,Ramkarpal Singh,4080,DAP,18,41242
2014-05-25,Pulau Pinang,P.051 Bukit Gelugor,4,Abu Backer Sidek,23620,BEBAS,1,225
2014-05-31,Perak,P.076 Telok Intan,1,Mah Siew Keong,2709,BN,25,20157
2014-05-31,Perak,P.076 Telok Intan,2,Dyana Sofya Binti Mohd Daud,22291,DAP,18,19919
2014-09-25,Kelantan,N.01 Pengkalan Kubor,1,Izat Bukhary,4496,BEBAS,1,38
2014-09-25,Kelantan,N.01 Pengkalan Kubor,2,Wan Rosdi,23613,PAS,3,7326
2014-09-25,Kelantan,N.01 Pengkalan Kubor,3,Ustaz Mat Razi,16353,BN,25,9961
2015-03-22,Kelantan,N.06 Chempaka,1,Kak Lah,3318,BEBAS,1,89
2015-03-22,Kelantan,N.06 Chempaka,2,Ustaz Fathan,20618,PAS,3,10899
2015-03-22,Kelantan,N.06 Chempaka,3,Izat Bukhary,4496,BEBAS,1,51
2015-03-22,Kelantan,N.06 Chempaka,4,Aslah Bin Mamat,23610,BEBAS,1,27
2015-03-22,Kelantan,N.06 Chempaka,5,Hj. Sharif,13010,BEBAS,1,807
2015-05-05,Pahang,P.091 Rompin,1,Ustaz Nazri Bin Haji Ahmad,206,PAS,3,14901
2015-05-05,Pahang,P.091 Rompin,2,Dato' Hasan Bin Arifin,4157,BN,25,23796
2015-05-07,Pulau Pinang,P.044 Permatang Pauh,1,Suhaimi Bin Sabudin,21101,BN,25,21475
2015-05-07,Pulau Pinang,P.044 Permatang Pauh,2,Salleh Bin Isahak,8915,BEBAS,1,367
2015-05-07,Pulau Pinang,P.044 Permatang Pauh,3,Dr Wan Azizah Wan Ismail,4901,PKR,11,30316
2015-05-07,Pulau Pinang,P.044 Permatang Pauh,4,Azman Shah,21070,PRM,57,101
2016-06-18,Perak,P.067 Kuala Kangsar,1,Izat Bukhary,4496,BEBAS,1,54
2016-06-18,Perak,P.067 Kuala Kangsar,2,Dr. Najihatussalehah Ahmad,23595,PAS,3,5684
2016-06-18,Perak,P.067 Kuala Kangsar,3,Datin Mastura Yazid,4109,BN,25,12653
2016-06-18,Perak,P.067 Kuala Kangsar,4,Dr Ahmad Termizi Ramli,4108,AMANAH,71,4883
2016-06-18,Selangor,P.093 Sungai Besar,1,Dr. Rani,17623,PAS,3,6902
2016-06-18,Selangor,P.093 Sungai Besar,2,Budiman Bin Mohd Zohdi,4161,BN,25,16800
2016-06-18,Selangor,P.093 Sungai Besar,3,Ustaz Azhar,192,AMANAH,71,7609
2017-02-18,Sarawak,N.03 Tanjong Datu,1,Jamilah Anu,23591,BN,25,6573
2017-02-18,Sarawak,N.03 Tanjong Datu,2,Johnny Bob Ak Aput,3952,STAR,64,108
2017-02-18,Sarawak,N.03 Tanjong Datu,3,Rapelson Richard Hamit,17345,PBDSB,72,130
2018-08-04,Selangor,N.49 Sungai Kandis,1,Dato' Lokman Noor Bin Adam,2810,BN,25,9585
2018-08-04,Selangor,N.49 Sungai Kandis,2,K.Murthy PJK,23589,BEBAS,1,97
2018-08-04,Selangor,N.49 Sungai Kandis,3,Mohd Zawawi Bin Ahmad Mughni,3697,PKR,11,15427
2018-09-08,Selangor,N.27 Balakong,1,Tan Chee Teong,15677,MCA,85,3975
2018-09-08,Selangor,N.27 Balakong,2,Wong Siew Ki,23244,PH,73,22508
2018-09-08,Selangor,N.32 Seri Setia,1,Halimey Bin Abu Bakar,169,PH,73,13725
2018-09-08,Selangor,N.32 Seri Setia,2,Dr Halimah Ali,4836,PAS,3,9698
