date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,name,sex,ethnicity,age,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1978-05-06,BY-ELECTION,Selangor,N.30 Morib,3,JWZNY,Ishak bin Pangat @ Shufaat,Ishak bin Pangat @ Shufaat,M,Malay,-1,BN,001-UMNO,UMNO,3,BN,3740,57.47656370063009,1,won
1978-06-10,BY-ELECTION,Kelantan,N.07 Tendong,1,77J28,Ghazali Awang Ibrahim,Ghazali bin Awang Ibrahim,M,Malay,-1,BERJASA,036-BERJASA,BERJASA,0,ALONE,5951,71.50925258351359,1,won
1978-06-10,BY-ELECTION,Kelantan,N.07 Tendong,2,NJ8F0,Cikgu Saharun,Saharun bin Ibrahim,M,Malay,26,PAS,004-PAS,PAS,0,ALONE,2371,28.49074741648642,2,lost
1978-07-29,BY-ELECTION,Sabah,N.04 Matunggong,1,EJR9P,Datuk Hj. Taulani,Taulani bin Jalaluddin,M,Bumi Sabah,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,211,5.599787685774947,3,lost_deposit
1978-07-29,BY-ELECTION,Sabah,N.04 Matunggong,2,YQJFB,Nelson A. Tompoong,Nelson A. Timpoong,M,Bumi Sabah,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,78,2.0700636942675157,4,lost_deposit
1978-07-29,BY-ELECTION,Sabah,N.04 Matunggong,3,HHPAR,George Mojuntin,George Mojuntin,M,Bumi Sabah,-1,BERJAYA,034-BERJAYA,BERJAYA,3,BN,2111,56.024416135881104,1,won
1978-07-29,BY-ELECTION,Sabah,N.04 Matunggong,4,PS3TV,Michael Wong,Michael Wong,M,Chinese,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,1368,36.30573248407643,2,lost
1978-07-29,BY-ELECTION,Sabah,N.22 Inanam,1,MZCD1,William Mijol,William Mijol,M,Bumi Sabah,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,114,2.556627046422965,4,lost_deposit
1978-07-29,BY-ELECTION,Sabah,N.22 Inanam,2,RD2FA,Mohd. Haji Yassin,Mohd. Yassin,M,Malay,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,271,6.077595873514241,3,lost_deposit
1978-07-29,BY-ELECTION,Sabah,N.22 Inanam,3,1WAG0,Fung Yun Fatt,Charles Fung Yun Fatt ,M,Chinese,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,521,11.684234133213725,2,lost_deposit
1978-07-29,BY-ELECTION,Sabah,N.22 Inanam,4,N0CBR,Marcel Leiking,Marshal Leiking (Marcel),M,Bumi Sabah,31,BERJAYA,034-BERJAYA,BERJAYA,3,BN,3553,79.68154294684908,1,won
1978-08-19,BY-ELECTION,Perlis,N.01 Titi Tinggi,1,RXHC2,Mustaffa bin Ahmad,Mustaffa bin Ahmad,M,Malay,-1,PAS,004-PAS,PAS,0,ALONE,648,17.030223390275953,3,lost
1978-08-19,BY-ELECTION,Perlis,N.01 Titi Tinggi,2,THF3V,Liew Sih Yang,Liew Sih Yang,M,Chinese,-1,DAP,021-DAP,DAP,0,ALONE,758,19.921156373193167,2,lost
1978-08-19,BY-ELECTION,Perlis,N.01 Titi Tinggi,3,XZ564,Goh Eng Toon,Ng Eng Toon @ Goh Eng Toon,M,Chinese,-1,BN,003-MCA,MCA,3,BN,2399,63.04862023653088,1,won
1978-09-16,BY-ELECTION,Sarawak,N.35 Machan,1,66WQH,Gramong Juna,Gramong Juna,M,Bumi Sarawak,32,BN,015-SNAP,SNAP,3,BN,2142,50.74626865671642,1,won
1978-09-16,BY-ELECTION,Sarawak,N.35 Machan,2,BZ6C5,Thomas Kana,Thomas anak Kana,M,Bumi Sarawak,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,2079,49.25373134328358,2,lost
1978-12-09,BY-ELECTION,Pulau Pinang,N.23 Kampong Kolam,1,V196Q,Lee Teik Hooi,Lee Teik Hooi,M,Chinese,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,62,0.49508903617344086,3,lost_deposit
1978-12-09,BY-ELECTION,Pulau Pinang,N.23 Kampong Kolam,2,MT612,Khoo Kay Por,Khoo Kay Por,M,Chinese,47,BN,026-GERAKAN,GERAKAN,3,BN,4398,35.119380340174075,2,lost
1978-12-09,BY-ELECTION,Pulau Pinang,N.23 Kampong Kolam,3,QKK4E,Ooi Ean Kwong,Ooi Ean Kwong,M,Chinese,36,DAP,021-DAP,DAP,0,ALONE,8063,64.38553062365247,1,won
