date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,name,sex,ethnicity,age,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1959-05-20,SE-01,Perak,N.15 Karai,1,8R169,Mohamed Ali Bin Haji Mohamed Zain,Mohamed Ali bin Mohamed Zain,M,Malay,39,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3326,60.31918752266957,1,won
1959-05-20,SE-01,Perak,N.15 Karai,2,C5Q8J,Kassim Bin Jan,Kassim bin Jan,M,Malay,-1,SF,009-PR,PR,2,SF,964,17.482771128037722,2,lost
1959-05-20,SE-01,Perak,N.15 Karai,3,FKDAV,Mohd. Taib Bin Abd. Hamid,Mohd. Taib bin Abdul Hamid,M,Malay,35,PAS,004-PAS,PAS,0,ALONE,686,12.441059122234313,3,lost_deposit
1959-05-20,SE-01,Perak,N.15 Karai,4,K13D4,Shahudin Bin Kulop Mat Lodin,Shahudin bin Kulop Mat Lodin,M,Malay,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,538,9.756982227058398,4,lost_deposit
1959-05-20,SE-01,Perak,N.16 Jalong,1,PESFD,See Khoon Lim,See Khoon Lim,M,Chinese,-1,PERIKATAN,003-MCA,MCA,1,PERIKATAN,3294,53.61328125,1,won
1959-05-20,SE-01,Perak,N.16 Jalong,2,S428F,Choy Kok Kuan,Choy Kok Kuan,M,Chinese,42,PPP,006-PPP,PPP,0,ALONE,2850,46.38671875,2,lost
1959-05-20,SE-01,Perak,N.17 Blanja,1,SWFHP,Mohd. Harun Bin Kulop,Mohd. Harun bin Kulop,M,Malay,-1,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,5074,65.88754707180885,1,won
1959-05-20,SE-01,Perak,N.17 Blanja,2,JDG4S,Meor Ahmad Bin Yusof,Meor Ahmad bin Meor Yusof,M,Malay,42,PAS,004-PAS,PAS,0,ALONE,2417,31.38553434618881,2,lost
1959-05-20,SE-01,Perak,N.17 Blanja,3,XA5KZ,Yusoof Bin Saroh,Yusoof bin Saroh,M,Malay,-1,SF,009-PR,PR,2,SF,210,2.7269185820023374,3,lost_deposit
1959-05-20,SE-01,Perak,N.18 Kampong Gajah,1,0QVP8,Ismail Bin Haji Karim,Ismail bin Karim,M,Malay,-1,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,4514,65.96521993277801,1,won
1959-05-20,SE-01,Perak,N.18 Kampong Gajah,2,45HRH,Haji Saaduddin Bin Haji Yahya,Saaduddin bin Yahya,M,Malay,-1,PAS,004-PAS,PAS,0,ALONE,2329,34.03478006722198,2,lost
1959-05-20,SE-01,Perak,N.19 Pengkalan Bharu,1,7K7TT,Haji Ishak Bin Haji Mohamed,Ishak bin Mohamed,M,Malay,-1,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3503,47.7312985420357,1,won
1959-05-20,SE-01,Perak,N.19 Pengkalan Bharu,2,B0XX3,Abdul Rahim Bin Mat Salleh,Abdul Rahim bin Mat Salleh,M,Malay,-1,PAS,004-PAS,PAS,0,ALONE,2012,27.41517917972476,2,lost
1959-05-20,SE-01,Perak,N.19 Pengkalan Bharu,3,EEKZC,L. Kathirgamen,L. Kathirgamen,M,Indian,33,BEBAS,000-BEBAS,BEBAS,0,ALONE,1824,24.85352227823954,3,lost
1959-05-20,SE-01,Perak,N.20 Ayer Tawar,1,HWA1N,Lee Khing Hoe,Lee Khing Hoe,M,Chinese,-1,PERIKATAN,003-MCA,MCA,1,PERIKATAN,4847,55.76392084675563,1,won
1959-05-20,SE-01,Perak,N.20 Ayer Tawar,2,NA03Y,Choong Ah Hing,Choong Ah Hing,M,Chinese,-1,PPP,006-PPP,PPP,0,ALONE,2577,29.64795213989876,2,lost
1959-05-20,SE-01,Perak,N.20 Ayer Tawar,3,RQP67,A. R. Shaharudin,A. R. Shaharudin,M,Malay,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,1268,14.588127013345606,3,lost
1959-05-20,SE-01,Perak,N.21 Lekir,1,W5C8G,Wong Ting Seng,Wong Ting Seng,M,Chinese,30,PERIKATAN,003-MCA,MCA,1,PERIKATAN,4276,66.74992194817358,1,won
1959-05-20,SE-01,Perak,N.21 Lekir,2,ZK2AS,Kong Toong,Kong Toong,M,Chinese,-1,PPP,006-PPP,PPP,0,ALONE,1181,18.43584139868873,2,lost
1959-05-20,SE-01,Perak,N.21 Lekir,3,5VH74,Mohd. Shamsuddin Bin Hj. Hamzah,Mohamed Shamshuddin bin Hamzah,M,Malay,57,PAS,004-PAS,PAS,0,ALONE,793,12.379019669060257,3,lost_deposit
1959-05-20,SE-01,Perak,N.21 Lekir,4,30RD2,Chiong Ee Hang,Chiong Ee Hang,M,Chinese,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,156,2.435216984077427,4,lost_deposit
1959-05-20,SE-01,Perak,N.22 Lumut,1,6EEFB,Liew Why Hone,Liew Why Hone,M,Chinese,43,PERIKATAN,003-MCA,MCA,1,PERIKATAN,5506,66.68281458156716,1,won
1959-05-20,SE-01,Perak,N.22 Lumut,2,9W4HM,Yong Mei Yan,Yong Mei Yan,M,Chinese,-1,PPP,006-PPP,PPP,0,ALONE,2682,32.481530822332566,2,lost
1959-05-20,SE-01,Perak,N.22 Lumut,3,D9TKX,Tan Beng Hong,Tan Beng Hong,M,Chinese,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,69,0.8356545961002786,3,lost_deposit
1959-05-20,SE-01,Perak,N.23 Pekan Lama,1,GQGP6,Toh Seang Eng,Toh Seang Eng,M,Chinese,48,PPP,006-PPP,PPP,0,ALONE,6075,57.901258101410605,1,won
1959-05-20,SE-01,Perak,N.23 Pekan Lama,2,PTFHH,Leong Kee Nyean,Leong Kee Nyean,M,Chinese,32,PERIKATAN,003-MCA,MCA,1,PERIKATAN,4417,42.0987418985894,2,lost
