date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,name,sex,ethnicity,age,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1976-05-01,SE-03,Sabah,N.12 Labuk,2,QX766,Haji Abd. Majid Enti @ Joseph Enti,Abd. Majid Enti (Joseph),M,Bumi Sabah,-1,USNO,014-USNO,USNO,1,PERIKATAN,858,39.6854764107308,2,lost
1976-05-01,SE-03,Sabah,N.13 Sulaman,1,942D8,Jumah Bin Sallim,Jumah bin Sallim,M,Bumi Sabah,-1,USNO,014-USNO,USNO,1,PERIKATAN,2925,59.3547077922078,1,won
1976-05-01,SE-03,Sabah,N.13 Sulaman,2,VAX8F,Nawawi Bin Budin,Nawawi bin Budin,M,Bumi Sabah,40,BERJAYA,034-BERJAYA,BERJAYA,0,ALONE,1826,37.05357142857143,2,lost
1976-05-01,SE-03,Sabah,N.13 Sulaman,3,VT1B7,M.A. Rahman,Mohamed bin Abdul Rahman (M.A. Rahman),M,Bumi Sabah,-1,PEKEMAS,028-PEKEMAS,PEKEMAS,0,ALONE,177,3.591720779220779,3,lost_deposit
1976-05-01,SE-03,Sabah,N.14 Tamparuli,1,YRKAR,James Ongkili,James Peter Ongkili,M,Bumi Sabah,37,BERJAYA,034-BERJAYA,BERJAYA,0,ALONE,2775,67.17501815541031,1,won
1976-05-01,SE-03,Sabah,N.14 Tamparuli,2,269D1,Haji Jasnie Gindung,Jasnie Gindung,F,Bumi Sabah,-1,USNO,014-USNO,USNO,1,PERIKATAN,1180,28.564512224642947,2,lost
1976-05-01,SE-03,Sabah,N.14 Tamparuli,3,5KZFA,Maria Aaah Gontuong,Maria Aaah Gontuong,F,Bumi Sabah,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,151,3.655289276204309,3,lost_deposit
1976-05-01,SE-03,Sabah,N.14 Tamparuli,4,91NHK,Jemis Bin Arab,James bin Arab,M,Bumi Sabah,-1,BERSATU,045-USPO,USPO,0,ALONE,25,0.6051803437424352,4,lost_deposit
1976-05-01,SE-03,Sabah,N.15 Kiulu,1,CFBKW,Tun Haji Mohd. Fuad Stephens,Muhammad Fuad Stephens,M,Bumi Sabah,56,BERJAYA,034-BERJAYA,BERJAYA,0,ALONE,2137,61.99593849724398,1,won
1976-05-01,SE-03,Sabah,N.15 Kiulu,2,FX1P5,Partick Godomon,Patrick bin Godomon,M,Bumi Sabah,-1,PEKEMAS,028-PEKEMAS,PEKEMAS,0,ALONE,1026,29.765013054830288,2,lost
1976-05-01,SE-03,Sabah,N.15 Kiulu,3,NPQB1,Datuk Payar Juman,Payar Juman,M,Bumi Sabah,-1,USNO,014-USNO,USNO,1,PERIKATAN,284,8.239048447925732,3,lost_deposit
1976-05-01,SE-03,Sabah,N.16 Kundasang,1,KAQRE,Mynoor Ginggor,Mynoor Ginggor,M,Bumi Sabah,28,BERJAYA,034-BERJAYA,BERJAYA,0,ALONE,1861,52.05594405594406,1,won
1976-05-01,SE-03,Sabah,N.16 Kundasang,2,PRDTQ,Kasitah Bin Gaddam,Kasitah bin Gaddam,M,Bumi Sabah,29,USNO,014-USNO,USNO,1,PERIKATAN,1696,47.44055944055944,2,lost
1976-05-01,SE-03,Sabah,N.16 Kundasang,3,T63X0,Francis Siam B. Maradan,Francis Siam bin Maradan,M,Bumi Sabah,32,PEKEMAS,028-PEKEMAS,PEKEMAS,0,ALONE,18,0.5034965034965035,3,lost_deposit
1976-05-01,SE-03,Sabah,N.17 Ranau,1,XKSZ9,Amin Bin Jahali,Amin bin Jahali @ Johnny,M,Bumi Sabah,33,USNO,014-USNO,USNO,1,PERIKATAN,1995,50.31525851197982,1,won
1976-05-01,SE-03,Sabah,N.17 Ranau,2,11G1J,Sepikit Bin Kabindong,Sepikit bin Kabindong,M,Bumi Sabah,56,BERJAYA,034-BERJAYA,BERJAYA,0,ALONE,1921,48.44892812105927,2,lost
1976-05-01,SE-03,Sabah,N.17 Ranau,3,4F63V,Mansai Bin Bimbilang,Mansai bin Bimbilang,M,Bumi Sabah,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,49,1.235813366960908,3,lost_deposit
1976-05-01,SE-03,Sabah,N.18 Tambunan,1,7WW64,Joseph Pairin Kitingan,Joseph Pairin Kitingan,M,Bumi Sabah,36,BERJAYA,034-BERJAYA,BERJAYA,0,ALONE,2310,65.86826347305389,1,won
