date,election,state,seat,voters_total,ballots_issued,ballots_not_returned,votes_rejected,votes_valid,majority,voter_turnout,majority_perc,votes_rejected_perc,ballots_not_returned_perc
1991-09-27,SE-06,Sarawak,N.08 Pending,23873,16939,46,90,16803,5537,70.95463494324133,32.95244896744629,0.5327650506126799,0.2715626660369561
1991-09-27,SE-06,Sarawak,N.09 Batu Lintang,21291,14179,107,94,13978,2434,66.59621436287634,17.413077693518385,0.6679931779420125,0.7546371394315537
1991-09-27,SE-06,Sarawak,N.10 Batu Kawah,20682,14280,239,235,13806,6696,69.04554685233536,48.5006518904824,1.6736699665266006,1.673669467787115
1991-09-27,SE-06,Sarawak,N.11 Bengoh,18578,13503,46,204,13253,212,72.6827430293896,1.5996378178525616,1.5159396596566843,0.34066503739909654
1991-09-27,SE-06,Sarawak,N.12 Asajaya,8666,6801,16,61,6724,3136,78.47911377798292,46.63890541344438,0.899042004421518,0.23525952065872666
1991-09-27,SE-06,Sarawak,N.13 Muara Tuang,14933,11850,785,205,10860,8272,79.3544498761133,76.16942909760589,1.8526886579304112,6.624472573839663
1991-09-27,SE-06,Sarawak,N.14 Tarat,12864,9294,0,178,9116,646,72.2481343283582,7.086441421676174,1.9152141166343877,0.0
1991-09-27,SE-06,Sarawak,N.15 Tebedu,14799,11080,0,199,10881,398,74.86992364348943,3.657752044848819,1.7960288808664258,0.0
1991-09-27,SE-06,Sarawak,N.16 Semera,7884,5872,4,64,5804,2340,74.47995941146625,40.317022742935904,1.0906612133606,0.06811989100817438
1991-09-27,SE-06,Sarawak,N.17 Simunjan,10843,8463,520,95,7848,2482,78.05035506778567,31.625891946992862,1.1960216542867934,6.1443932411674345
1991-09-27,SE-06,Sarawak,N.18 Sebuyau,8009,5862,11,98,5753,2247,73.19265825945811,39.05788284373371,1.6749273628439583,0.18764926646195837
1991-09-27,SE-06,Sarawak,N.19 Beladin,8136,6324,6,70,6248,3969,77.72861356932154,63.52432778489116,1.1079455523899968,0.09487666034155598
1991-09-27,SE-06,Sarawak,N.20 Bukit Begunan,10254,7589,23,92,7474,534,74.0101423834601,7.144768530907145,1.2159661644197728,0.3030702332323099
1991-09-27,SE-06,Sarawak,N.21 Simanggang,13553,9825,21,99,9705,197,72.49317494281709,2.029881504379186,1.0097919216646267,0.2137404580152672
1991-09-27,SE-06,Sarawak,N.22 Engkilili,8209,6255,6,57,6192,405,76.19685710805214,6.540697674418605,0.9121459433509362,0.09592326139088729
