date,election,state,seat,area_name,ballot_order,name,candidate_uid,party,party_uid,votes,votes_perc,result
1955-07-25,GE-00,Selangor,P.019 Ulu Selangor,Ulu Selangor,1,Halimahton Binti Abdul Majid,52,PERIKATAN,2,5430,82.39757207890743,won
1955-07-25,GE-00,Selangor,P.019 Ulu Selangor,Ulu Selangor,2,Ab. Rahman Bin Haji Maulana,53,BEBAS,1,1160,17.602427921092563,lost
1955-07-25,GE-00,Selangor,P.020 Kuala Selangor,Kuala Selangor,1,Raja Rastam Shahrome Bin Raja Said Tauphy,54,PERIKATAN,2,11857,68.1789431315048,won
1955-07-25,GE-00,Selangor,P.020 Kuala Selangor,Kuala Selangor,2,Othman Bin Abdullah,55,PAS,3,4778,27.473980794663905,lost
1955-07-25,GE-00,Selangor,P.020 Kuala Selangor,Kuala Selangor,3,Md. Ambia Bin Sanusi,56,BEBAS,1,756,4.347076073831293,lost_deposit
1955-07-25,GE-00,Selangor,P.021 Langat,Langat,1,Abu Bakar Bin Bagina,57,PERIKATAN,2,7069,76.70355902777779,won
1955-07-25,GE-00,Selangor,P.021 Langat,Langat,2,Mohd. Nazir Bin Hj. Abdul Jalil,58,BEBAS,1,2147,23.29644097222222,lost
1955-07-25,GE-00,Selangor,P.022 Selangor Barat,Selangor Barat,1,Abdul Aziz Bin Ishak,59,PERIKATAN,2,8713,73.80770859805168,won
1955-07-25,GE-00,Selangor,P.022 Selangor Barat,Selangor Barat,2,Mohamed Rashid Bin Ahmad,60,BEBAS,1,3092,26.192291401948324,lost
1955-07-25,GE-00,Selangor,P.023 Selangor Tengah,Selangor Tengah,1,Lee Eng Teh,61,PERIKATAN,2,5652,68.91002194586686,won
1955-07-25,GE-00,Selangor,P.023 Selangor Tengah,Selangor Tengah,2,Zulfikli Mohamed,62,PAS,3,1711,20.86076566691051,lost
1955-07-25,GE-00,Selangor,P.023 Selangor Tengah,Selangor Tengah,3,Atan Chik Bin Lengkeng,63,BEBAS,1,839,10.22921238722263,lost_deposit
1955-07-25,GE-00,Negeri Sembilan,P.024 Negri Sembilan Utama,Negri Sembilan Utama,1,Mohd. Idrid Bin Mat Sil,64,PERIKATAN,2,21155,91.05582576507554,won
1955-07-25,GE-00,Negeri Sembilan,P.024 Negri Sembilan Utama,Negri Sembilan Utama,2,Dato Ujang Bin Menuang,65,BEBAS,1,1572,6.766237679163259,lost_deposit
1955-07-25,GE-00,Negeri Sembilan,P.024 Negri Sembilan Utama,Negri Sembilan Utama,3,Noordin Bin Haji Abdul Samad,66,BEBAS,1,506,2.177936555761202,lost_deposit
1955-07-25,GE-00,Negeri Sembilan,P.025 Negri Sembilan Selatan,Negri Sembilan Selatan,1,Abdul Jalil Bin Haji Aminudin,67,PERIKATAN,2,12099,77.11772579514309,won
1955-07-25,GE-00,Negeri Sembilan,P.025 Negri Sembilan Selatan,Negri Sembilan Selatan,2,Baba Bin Ludek,68,BEBAS,1,3590,22.882274204856905,lost
1955-07-25,GE-00,Negeri Sembilan,P.026 Seremban,Seremban,1,Lim Kee Siong,69,PERIKATAN,2,8402,78.46469929025028,won
1955-07-25,GE-00,Negeri Sembilan,P.026 Seremban,Seremban,2,B. H. Tan,70,BEBAS,1,2306,21.53530070974972,lost
1955-07-25,GE-00,Pahang,P.027 Ulu Pahang,Ulu Pahang,1,Mohamed Sulong Bin Mohamed Ali,71,PERIKATAN,2,16075,89.38003892132332,won
1955-07-25,GE-00,Pahang,P.027 Ulu Pahang,Ulu Pahang,2,Abd. Hamid Bin Ma'Ajab,72,BEBAS,1,1910,10.619961078676674,lost_deposit
1955-07-25,GE-00,Pahang,P.028 Semantan,Semantan,1,Dato Abdul Razak Bin Hussain,73,PERIKATAN,2,14094,87.5784502578761,won
1955-07-25,GE-00,Pahang,P.028 Semantan,Semantan,2,Mohamed Yasin Bin Mohd. Salleh,74,PAS,3,1999,12.421549742123904,lost_deposit
1955-07-25,GE-00,Pahang,P.029 Pahang Timor,Pahang Timor,1,Abdul Rahman Bin Haji Talib,75,PERIKATAN,2,16763,92.62861247720616,won
1955-07-25,GE-00,Pahang,P.029 Pahang Timor,Pahang Timor,2,Sheik Kadir Bin Sheik Omar,76,BEBAS,1,1334,7.3713875227938335,lost_deposit
1955-07-25,GE-00,Johor,P.030 Johore Timor,Johore Timor,1,Dr Ismail Bin Dato Abdul Rahman,77,PERIKATAN,2,10800,94.71191791633781,won
1955-07-25,GE-00,Johor,P.030 Johore Timor,Johore Timor,2,Jaafar Bin Haji Ali,78,BEBAS,1,350,3.0693677102516883,lost_deposit
1955-07-25,GE-00,Johor,P.030 Johore Timor,Johore Timor,3,Haji Abdullah Bin Haji Taib,79,BEBAS,1,253,2.218714373410506,lost_deposit
1955-07-25,GE-00,Johor,P.031 Johore Bahru,Johore Bahru,1,Suleiman Bin Dato Abdul Rahman,80,PERIKATAN,2,8745,75.73395687191478,won
1955-07-25,GE-00,Johor,P.031 Johore Bahru,Johore Bahru,2,Dato Onn Bin Jaafar,81,BEBAS,1,2802,24.266043128085215,lost
1955-07-25,GE-00,Johor,P.032 Johore Selantan,Johore Selantan,1,Dr L. H. Tan,82,PERIKATAN,2,21581,90.30084940792503,won
1955-07-25,GE-00,Johor,P.032 Johore Selantan,Johore Selantan,2,Kassim Bin Awang Chik,83,BEBAS,1,2318,9.699150592074982,lost_deposit
1955-07-25,GE-00,Johor,P.033 Johore Tengah,Johore Tengah,1,Teo Chze Chong,84,PERIKATAN,2,7100,86.92458374142997,won
1955-07-25,GE-00,Johor,P.033 Johore Tengah,Johore Tengah,2,Haji Anwar Bin Haji Abdul Malik,85,BEBAS,1,1068,13.07541625857003,lost
1955-07-25,GE-00,Johor,P.034 Batu Pahat,Batu Pahat,1,S. Chelvasingam Macintyre,86,PERIKATAN,2,18968,87.47060179847821,won
1955-07-25,GE-00,Johor,P.034 Batu Pahat,Batu Pahat,2,Dato Haji Syed Abdul Kadir Bin Mohamed,87,BEBAS,1,2717,12.529398201521788,lost
1955-07-25,GE-00,Johor,P.035 Muar Selatan,Muar Selatan,1,Tan Suan Kok,88,PERIKATAN,2,23580,85.16324761629586,won
1955-07-25,GE-00,Johor,P.035 Muar Selatan,Muar Selatan,2,Dato' Mahmud Bin Md. Shah,89,BEBAS,1,4108,14.836752383704132,lost
1955-07-25,GE-00,Johor,P.036 Muar Utara,Muar Utara,1,Haji Hassan Bin Haji Yunos,90,PERIKATAN,2,19802,84.53361792956244,won
1955-07-25,GE-00,Johor,P.036 Muar Utara,Muar Utara,2,Haji Mohamed Nor Bin A. Hamid,91,BEBAS,1,3623,15.466382070437568,lost
1955-07-25,GE-00,Johor,P.037 Segamat,Segamat,1,Sardon Bin Haji Jubir,92,PERIKATAN,2,11072,81.89954878319402,won
1955-07-25,GE-00,Johor,P.037 Segamat,Segamat,2,Razali Bin Abdul Manap,93,BEBAS,1,2447,18.100451216805975,lost
