date,election,state,seat,ballot_order,name,candidate_uid,party,party_uid,votes
1955-07-25,GE-00,Johor,P.036 Muar Utara,1,Haji Hassan Bin Haji Yunos,90,PERIKATAN,2,19802
1955-07-25,GE-00,Johor,P.036 Muar Utara,2,Haji Mohamed Nor Bin A. Hamid,91,BEBAS,1,3623
1955-07-25,GE-00,Johor,P.037 Segamat,1,Sardon Bin Haji Jubir,92,PERIKATAN,2,11072
1955-07-25,GE-00,Johor,P.037 Segamat,2,Razali Bin Abdul Manap,93,BEBAS,1,2447
1955-07-25,GE-00,Kedah,P.038 Alor Star,1,Lee Thean Hin,94,PERIKATAN,2,27897
1955-07-25,GE-00,Kedah,P.038 Alor Star,2,Haji Salim Bin Haji Mohd. Rejab,95,BEBAS,1,1784
1955-07-25,GE-00,Kedah,P.039 Kota Star,1,Tunku Kassim Ibni Almarhom Sultan Abdul Hamid,96,PERIKATAN,2,27357
1955-07-25,GE-00,Kedah,P.039 Kota Star,2,Haji Rejab Bin Haji Darus,97,BEBAS,1,2168
1955-07-25,GE-00,Kedah,P.040 Kedah Utara,1,Syed Ahmad Bin Syed Mahmud Shahabudin,98,PERIKATAN,2,25544
1955-07-25,GE-00,Kedah,P.040 Kedah Utara,2,Haji Abdullah Bin Haji Abbas,99,BEBAS,1,1578
1955-07-25,GE-00,Kedah,P.040 Kedah Utara,3,Haji Laidin Bin Haji Abdul Manan,100,BEBAS,1,1309
1955-07-25,GE-00,Kedah,P.041 Kedah Tengah,1,Md. Khir Bin Johari,101,PERIKATAN,2,31077
1955-07-25,GE-00,Kedah,P.041 Kedah Tengah,2,Puteh Bin Napa,102,BEBAS,1,1431
1955-07-25,GE-00,Kedah,P.042 Sungei Muda,1,Tunku Abdul Rahman Putra,103,PERIKATAN,2,22226
1955-07-25,GE-00,Kedah,P.042 Sungei Muda,2,Syed Jan Aljeffri,104,BEBAS,1,1239
1955-07-25,GE-00,Kedah,P.043 Kedah Selatan,1,Lim Teng Kwang,105,PERIKATAN,2,21050
1955-07-25,GE-00,Kedah,P.043 Kedah Selatan,2,M. Saleh Bin Haji Shafie,106,PAS,3,1563
1955-07-25,GE-00,Kelantan,P.044 Kelantan Selatan,1,Abdul Khalid Bin Awang Osman,107,PERIKATAN,2,21746
1955-07-25,GE-00,Kelantan,P.044 Kelantan Selatan,2,Dato' Nik Ahmed Kamil Bin Mahmood,108,BEBAS,1,7175
1955-07-25,GE-00,Kelantan,P.044 Kelantan Selatan,3,Haji Mohamed Noor Bin Haji Yusoff,109,PAS,3,3600
1955-07-25,GE-00,Kelantan,P.045 Kelantan Timor,1,Nik Hassan Bin Haji Nik Yahya,110,PERIKATAN,2,30954
1955-07-25,GE-00,Kelantan,P.045 Kelantan Timor,2,Dato' Nik Ahmed Bin Haji Nik Mahmood,111,BEBAS,1,4019
1955-07-25,GE-00,Kelantan,P.045 Kelantan Timor,3,Mohd. Asri Bin Haji Muda,112,PAS,3,2292
1955-07-25,GE-00,Kelantan,P.045 Kelantan Timor,4,Mohamed Bin Ibrahim,113,BEBAS,1,883
1955-07-25,GE-00,Kelantan,P.046 Pasir Mas,1,Tengku Ahmad Bin Tengku Abdul Ghaffar,114,PERIKATAN,2,20963
1955-07-25,GE-00,Kelantan,P.046 Pasir Mas,2,Haji Mokhtar Bin Haji Ahmed,115,PAS,3,7507
1955-07-25,GE-00,Kelantan,P.047 Kelantan Utara,1,Tengku Indra Petra Bin Sultan Ibrahim,116,PERIKATAN,2,28428
1955-07-25,GE-00,Kelantan,P.047 Kelantan Utara,2,Dato' Nik Hussein Bin Nik Zainal,117,BEBAS,1,6295
1955-07-25,GE-00,Kelantan,P.048 Kelantan Tengah,1,Abdul Hamid Bin Mahmud,118,PERIKATAN,2,28422
1955-07-25,GE-00,Kelantan,P.048 Kelantan Tengah,2,Tengku Annuar Zainal Bin Tengku Zainal Abidin,119,BEBAS,1,2970
1955-07-25,GE-00,Kelantan,P.048 Kelantan Tengah,3,Dato Nik Mohamed Bin Abdul Rahman,120,BEBAS,1,1154
1955-07-25,GE-00,Kelantan,P.048 Kelantan Tengah,4,Idris Bin Haji Mohamed,121,BEBAS,1,721
1955-07-25,GE-00,Terengganu,P.049 Trengganu Utara,1,Ibrahim Fikri Bin Mohamed,122,PERIKATAN,2,22041
1955-07-25,GE-00,Terengganu,P.049 Trengganu Utara,2,Mohd. Salleh Bin Ahmad,123,BEBAS,1,2866
1955-07-25,GE-00,Terengganu,P.050 Trengganu Tengah,1,Engku Muhsein Bin Abdul Kadir,124,PERIKATAN,2,19038
1955-07-25,GE-00,Terengganu,P.050 Trengganu Tengah,2,Sulaiman Bin Ali,125,BEBAS,1,4746
1955-07-25,GE-00,Terengganu,P.051 Trengganu Selatan,1,Wan Yahya Bin Haji Wan Mohd.,126,PERIKATAN,2,16345
1955-07-25,GE-00,Terengganu,P.051 Trengganu Selatan,2,Ibrahim Bin Matnoh,127,BEBAS,1,2628
1955-07-25,GE-00,Perlis,P.052 Perlis,1,Sheikh Ahmad Bin Mohd. Hashim,128,PERIKATAN,2,17769
1955-07-25,GE-00,Perlis,P.052 Perlis,2,Matt Bin Haji Kassim,129,BEBAS,1,8814
1959-05-20,GE-01,Perlis,P.001 Perlis Utara,1,Othman Bin Abdullah,19345,PERIKATAN,2,9638
1959-05-20,GE-01,Perlis,P.001 Perlis Utara,2,Abu Bakar Bin Hamzah,371,PAS,3,5787
1959-05-20,GE-01,Perlis,P.002 Perlis Selatan,1,Abdul Rahman Bin Osman,372,PAS,3,6163
1959-05-20,GE-01,Perlis,P.002 Perlis Selatan,2,Haji Mokhtar Bin Haji Ismail,373,PERIKATAN,2,8015
1959-05-20,GE-01,Kedah,P.003 Jitra-Padang Terap,1,Fatimah Haji Hasim,321,PERIKATAN,2,10981
1959-05-20,GE-01,Kedah,P.003 Jitra-Padang Terap,2,Hj. Husin Bin Hj. Salleh,322,PAS,3,5856
1959-05-20,GE-01,Kedah,P.004 Kubang Pasu Barat,1,Haji Abdullah Bin Haji Abbas,99,PAS,3,5630
1959-05-20,GE-01,Kedah,P.004 Kubang Pasu Barat,2,Haji Azahari Bin Haji Ibrahim,320,PERIKATAN,2,8388
1959-05-20,GE-01,Kedah,P.005 Kota Star Utara,1,Haji Abdul Khalid,316,PERIKATAN,2,8942
1959-05-20,GE-01,Kedah,P.005 Kota Star Utara,2,Abu Bakar,317,PAS,3,6279
1959-05-20,GE-01,Kedah,P.006 Alor Star,1,Lim Joo Kong,311,PERIKATAN,2,10730
1959-05-20,GE-01,Kedah,P.006 Alor Star,2,Teoh Ah Thow,312,BEBAS,1,2289
1959-05-20,GE-01,Kedah,P.006 Alor Star,3,Malik Abdul Rahman,313,PAS,3,4212
1959-05-20,GE-01,Kedah,P.007 Kuala Kedah,1,Tunku Abdul Rahman Putra Al-Haj,103,PERIKATAN,2,13032
1959-05-20,GE-01,Kedah,P.007 Kuala Kedah,2,Haji Hassan Bin Abdul Rahman,315,PAS,3,5542
