state,dun,area_name,ballot_order,name,candidate_uid,party,party_uid,votes
Perak,N.33 Sitiawan,Sitiawan,4,Haji Ibrahim Bin Haji Hasan,5328,PAS,3,820
Perak,N.34 Pangkor,Pangkor,1,Cherng Chien Chang,8715,BN,25,5953
Perak,N.34 Pangkor,Pangkor,2,Phung Ah See @ Phung Teik Hua,9853,DAP,18,5112
Perak,N.34 Pangkor,Pangkor,3,Mohaned Salleh Bin Mohd. Gaus,1463,PAS,3,434
Perak,N.35 Kampong Gajah,Kampong Gajah,1,Ramli Bin Ngah Talib,9855,BN,25,7251
Perak,N.35 Kampong Gajah,Kampong Gajah,2,Ishak Bin Haji Abdul Hamid,9856,PAS,3,2236
Perak,N.35 Kampong Gajah,Kampong Gajah,3,Zainal Abidin Bin Md. Nusi,9857,DAP,18,360
Perak,N.35 Kampong Gajah,Kampong Gajah,4,Chek Bin Ali,9858,PEKEMAS,27,119
Perak,N.36 Sungei Manik,Sungei Manik,1,Mohamed Yusof Bin Madin,8721,BN,25,6088
Perak,N.36 Sungei Manik,Sungei Manik,2,Kamaruddin Bin Omar,9860,PAS,3,2513
Perak,N.36 Sungei Manik,Sungei Manik,3,Hawari Bin Abdullah,9861,DAP,18,2064
Perak,N.36 Sungei Manik,Sungei Manik,4,Shaharuddin Dahalan,5770,PEKEMAS,27,262
Perak,N.37 Pasir Bedamar,Pasir Bedamar,1,Thee Ah Kow @ Thee You Min,1202,DAP,18,10164
Perak,N.37 Pasir Bedamar,Pasir Bedamar,2,Chi Lik Sun,9864,BN,25,5683
Perak,N.38 Changkat Jong,Changkat Jong,1,Darus Bin Mohd. Said,8727,BN,25,5872
Perak,N.38 Changkat Jong,Changkat Jong,2,Abdullah Bin Abdul Aziz,9866,DAP,18,2106
Perak,N.38 Changkat Jong,Changkat Jong,3,Ibrahim Bin Yacob,3458,PAS,3,875
Perak,N.38 Changkat Jong,Changkat Jong,4,T. Muniandy,9868,UPP,41,396
Perak,N.39 Bidor,Bidor,1,Chin Gan Oon,9869,BN,25,6186
Perak,N.39 Bidor,Bidor,2,Loh Jee Mee,653,DAP,18,4892
Perak,N.39 Bidor,Bidor,3,Ishak Bin Mahmudin,9871,PAS,3,542
Perak,N.39 Bidor,Bidor,4,Abdul Rahman Bin Haji Abdul Wahab,477,BEBAS,1,301
Perak,N.39 Bidor,Bidor,5,Peter Kandiah,9873,UPP,41,201
Perak,N.40 Slim,Slim,1,R.M. Idris Al–Haj,8733,BN,25,7707
Perak,N.40 Slim,Slim,2,Haji Abdul Raffor Bin Abd. Hamid,9875,DAP,18,2746
Perak,N.40 Slim,Slim,3,Ustaz Ibrahim Sadri,9876,PAS,3,486
Perak,N.41 Rungkup,Rungkup,1,Mohamad Yaacob Bin Haji Mohamed,8736,BN,25,9231
Perak,N.41 Rungkup,Rungkup,2,Mat Ali Bin Haji Alias,9878,PAS,3,1627
Perak,N.41 Rungkup,Rungkup,3,Abd. Karim Bin Zakaria,8737,DAP,18,1096
Perak,N.42 Hutan Melintang,Hutan Melintang,1,Radziah Binti Marahuddin,9880,BN,25,6769
Perak,N.42 Hutan Melintang,Hutan Melintang,2,Hafith Bin Jaafar,2394,PAS,3,1491
Perak,N.42 Hutan Melintang,Hutan Melintang,3,Haji Mustafa Bin Manap,9882,DAP,18,1490
Perak,N.42 Hutan Melintang,Hutan Melintang,4,L. Moorthy,9883,UPP,41,318
